method	latex_pair	test_ceu_synergy_mean_pct	test_ceu_synergy_std_pct	test_acc_mean_pct	test_acc_std_pct	val_acc_mean_pct	val_acc_std_pct	selected_hparams
MMPareto	15.9{\tiny$\pm$}3.3/62.8{\tiny$\pm$}0.1	15.867	3.307	62.833	0.125	62.600	0.356	--lr=0.001 --wd=0.001 --alpha=2.0
DnR	15.2{\tiny$\pm$}2.3/63.6{\tiny$\pm$}0.5	15.200	2.276	63.567	0.544	63.033	0.170	--lr=0.001 --wd=0.001 --alpha=0.5 --kmepoch=5
MCR	11.0{\tiny$\pm$}1.1/62.4{\tiny$\pm$}0.2	10.967	1.103	62.367	0.249	63.333	0.411	--lr=0.001 --wd=0.001 --l=0.01 --multil=0.1
ReconBoost	12.7{\tiny$\pm$}5.9/63.2{\tiny$\pm$}0.3	12.700	5.880	63.200	0.327	62.867	0.249	--lr=0.001 --wd=0.001 --alpha=1.5 --recon_weight1=10 --recon_weight2=1 --recon_epochstages=1 --recon_ensemblestages=1
ens	1.4{\tiny$\pm$}1.0/58.7{\tiny$\pm$}3.9	1.433	1.014	58.733	3.926	0.000	0.000	--lr=0.001 --wd=0.001 --l=0
synprom_RMask	NA	nan	nan	62.933	0.881	62.600	0.216	--lr=0.001 --wd=0.001 --l=0
synprom_RMask_nopre	NA	nan	nan	62.533	0.125	62.933	0.189	--lr=0.001 --wd=0.001
synprom_RMask_learned	NA	nan	nan	62.367	1.601	63.600	0.712	--lr=0.001 --wd=0.001 --l=1 --perturb=learned --perturb_fill=ema --perturb_lsparse=0.1
synprom_RMask_random	NA	nan	nan	61.700	0.726	63.467	0.249	--lr=0.001 --wd=0.001 --l=0.1 --perturb=random --perturb_fill=ema --perturb_pmin=0.5
