method	latex_pair	test_ceu_synergy_mean_pct	test_ceu_synergy_std_pct	test_acc_mean_pct	test_acc_std_pct	val_acc_mean_pct	val_acc_std_pct	selected_hparams	selected_config
MCR	29.0{\tiny$\pm$}3.1/73.7{\tiny$\pm$}1.3	28.967	3.135	73.733	1.297	75.967	1.266	--lr=0.0005 --wd=0.001 --l=0.001 --multil=0.01	configs/FactorCL/Mosi/release/VT/MCR.json
MCR_NoiseInput	NA	NA	NA	NA	NA	NA	NA	MISSING	MISSING
MCR_NoiseLatent	26.2{\tiny$\pm$}4.6/72.9{\tiny$\pm$}2.1	26.167	4.613	72.867	2.073	75.567	1.302	--lr=0.0005 --wd=0.001 --l=0.001 --multil=1	configs/FactorCL/Mosi/release/VT/MCR_NoiseLatent.json
MCR_ZeroInput	28.8{\tiny$\pm$}4.0/72.3{\tiny$\pm$}0.7	28.833	4.047	72.333	0.736	75.333	1.733	--lr=0.0005 --wd=0.001 --l=0.001 --multil=0.1	configs/FactorCL/Mosi/release/VT/MCR_ZeroInput.json
MCR_ZeroLatent	28.8{\tiny$\pm$}4.0/72.3{\tiny$\pm$}0.7	28.833	4.047	72.333	0.736	75.333	1.733	--lr=0.0005 --wd=0.001 --l=0.001 --multil=0.1	configs/FactorCL/Mosi/release/VT/MCR_ZeroLatent.json
MLB	29.3{\tiny$\pm$}4.2/71.8{\tiny$\pm$}0.9	29.267	4.184	71.767	0.896	77.000	1.780	--lr=0.0005 --wd=0.001	configs/FactorCL/Mosi/release/VT/MLB.json
MMPareto	25.1{\tiny$\pm$}5.4/72.6{\tiny$\pm$}1.9	25.133	5.437	72.567	1.898	78.033	3.154	--lr=0.0005 --wd=0.001 --alpha=5.0	configs/FactorCL/Mosi/release/VT/MMPareto.json
OGM	31.4{\tiny$\pm$}4.3/72.8{\tiny$\pm$}1.8	31.433	4.337	72.833	1.837	76.867	0.998	--lr=0.0005 --wd=0.001	configs/FactorCL/Mosi/release/VT/OGM.json
ens	0.0{\tiny$\pm$}0.0/72.8{\tiny$\pm$}1.6	0.000	0.000	72.767	1.554	0.000	0.000	--lr=0.0005 --wd=0.001 --l=0	configs/FactorCL/Mosi/release/VT/ens.json
joint_training	31.4{\tiny$\pm$}4.3/72.8{\tiny$\pm$}1.8	31.433	4.337	72.833	1.837	76.867	0.998	--lr=0.0005 --wd=0.001	configs/FactorCL/Mosi/release/VT/joint_training.json
multiloss	29.3{\tiny$\pm$}4.2/71.8{\tiny$\pm$}0.9	29.267	4.184	71.767	0.896	77.000	1.780	--lr=0.0005 --wd=0.001	configs/FactorCL/Mosi/release/VT/multiloss.json
pre_finetuned	14.1{\tiny$\pm$}2.3/72.3{\tiny$\pm$}1.7	14.067	2.295	72.267	1.698	77.000	1.987	--lr=0.0005 --wd=0.001	configs/FactorCL/Mosi/release/VT/pre_finetuned.json
pre_frozen	1.5{\tiny$\pm$}2.1/72.2{\tiny$\pm$}2.9	1.467	2.074	72.167	2.949	76.133	3.225	--lr=0.0005 --wd=0.001	configs/FactorCL/Mosi/release/VT/pre_frozen.json
SynProm RMask no-pre	33.0{\tiny$\pm$}3.3/74.4{\tiny$\pm$}1.4	33.033	3.279	74.400	1.395	78.000	0.141	--lr=0.0005 --wd=0.001	configs/FactorCL/Mosi/syn/VT/synprom_RMask_nopre.json
SynProm RMask	11.2{\tiny$\pm$}4.0/70.8{\tiny$\pm$}3.1	11.233	4.030	70.833	3.148	80.033	0.094	--lr=0.0005 --wd=0.001 --l=0	configs/FactorCL/Mosi/syn/VT/synprom_RMask.json
SynProm Learned	15.1{\tiny$\pm$}2.7/72.8{\tiny$\pm$}0.5	15.100	2.698	72.800	0.535	81.700	1.606	--lr=0.0005 --wd=0.001 --l=0.1 --perturb=learned --perturn=learned --perturb_fill=ema --perturb_lsparse=5	configs/FactorCL/Mosi/syn/VT/synprom_RMask.json
SynProm Random	11.2{\tiny$\pm$}4.1/74.0{\tiny$\pm$}0.8	11.167	4.135	74.033	0.793	80.767	0.464	--lr=0.0005 --wd=0.001 --l=0.01 --perturb=random --perturn=random --perturb_fill=ema --perturb_pmin=0.7	configs/FactorCL/Mosi/syn/VT/synprom_RMask.json
