epoch,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
,0,,,,3.1094021797180176
0,18,,,3.1094021797180176,
0,18,3.147035598754883,,,
,1,,,,2.868722915649414
1,37,,,2.868722915649414,
1,37,3.0841872692108154,,,
2,49,,2.589230537414551,,
,2,,,,2.334519863128662
2,56,,,2.334519863128662,
2,56,2.6644229888916016,,,
,3,,,,2.278681755065918
3,75,,,2.278681755065918,
3,75,2.3767075538635254,,,
,4,,,,2.275338649749756
4,94,,,2.275338649749756,
4,94,2.3283894062042236,,,
5,99,,2.3125674724578857,,
,5,,,,2.2724766731262207
5,113,,,2.2724766731262207,
5,113,2.3136165142059326,,,
,6,,,,2.2687900066375732
6,132,,,2.2687900066375732,
6,132,2.30562424659729,,,
7,149,,2.2979438304901123,,
,7,,,,2.2701406478881836
7,151,,,2.2701406478881836,
7,151,2.3021366596221924,,,
,8,,,,2.2687125205993652
8,170,,,2.2687125205993652,
8,170,2.2986342906951904,,,
,9,,,,2.2686641216278076
9,189,,,2.2686641216278076,
9,189,2.2955996990203857,,,
10,199,,2.2903966903686523,,
,10,,,,2.2692909240722656
10,208,,,2.2692909240722656,
10,208,2.2935874462127686,,,
,11,,,,2.269400119781494
11,227,,,2.269400119781494,
11,227,2.293111562728882,,,
,12,,,,2.269174337387085
12,246,,,2.269174337387085,
12,246,2.29152250289917,,,
13,249,,2.2902491092681885,,
,13,,,,2.2692716121673584
13,265,,,2.2692716121673584,
13,265,2.2914767265319824,,,
,14,,,,2.268009901046753
14,284,,,2.268009901046753,
14,284,2.288729190826416,,,
15,299,,2.289562225341797,,
,15,,,,2.26711368560791
15,303,,,2.26711368560791,
15,303,2.2888572216033936,,,
,16,,,,2.267195701599121
16,322,,,2.267195701599121,
16,322,2.2877025604248047,,,
,17,,,,2.2683675289154053
17,341,,,2.2683675289154053,
17,341,2.288257598876953,,,
18,349,,2.283400297164917,,
,18,,,,2.2682180404663086
18,360,,,2.2682180404663086,
18,360,2.2876133918762207,,,
,19,,,,2.2680373191833496
19,379,,,2.2680373191833496,
19,379,2.286513566970825,,,
,20,,,,2.269371509552002
20,398,,,2.269371509552002,
20,398,2.286214828491211,,,
21,399,,2.285310745239258,,
,21,,,,2.2676775455474854
21,417,,,2.2676775455474854,
21,417,2.2858479022979736,,,
,22,,,,2.2697343826293945
22,436,,,2.2697343826293945,
22,436,2.2854669094085693,,,
23,449,,2.2860660552978516,,
,23,,,,2.2655906677246094
23,455,,,2.2655906677246094,
23,455,2.284992218017578,,,
,24,,,,2.2666494846343994
24,474,,,2.2666494846343994,
24,474,2.2854437828063965,,,
,25,,,,2.268305540084839
25,493,,,2.268305540084839,
25,493,2.285158157348633,,,
26,499,,2.2848100662231445,,
,26,,,,2.266594409942627
26,512,,,2.266594409942627,
26,512,2.284364700317383,,,
,27,,,,2.2676050662994385
27,531,,,2.2676050662994385,
27,531,2.283984422683716,,,
28,549,,2.2835071086883545,,
,28,,,,2.266216516494751
28,550,,,2.266216516494751,
28,550,2.283803701400757,,,
,29,,,,2.2666738033294678
29,569,,,2.2666738033294678,
29,569,2.2836179733276367,,,
,30,,,,2.268594980239868
30,588,,,2.268594980239868,
30,588,2.2837331295013428,,,
31,599,,2.2831640243530273,,
,31,,,,2.2677395343780518
31,607,,,2.2677395343780518,
31,607,2.283482551574707,,,
,32,,,,2.267360210418701
32,626,,,2.267360210418701,
32,626,2.282480478286743,,,
,33,,,,2.265991687774658
33,645,,,2.265991687774658,
33,645,2.2833549976348877,,,
34,649,,2.2824366092681885,,
,34,,,,2.2668440341949463
34,664,,,2.2668440341949463,
34,664,2.2826051712036133,,,
,35,,,,2.266193389892578
35,683,,,2.266193389892578,
35,683,2.282700300216675,,,
36,699,,2.2811741828918457,,
,36,,,,2.2672524452209473
36,702,,,2.2672524452209473,
36,702,2.2824087142944336,,,
,37,,,,2.266674757003784
37,721,,,2.266674757003784,
37,721,2.2826709747314453,,,
,38,,,,2.266324758529663
38,740,,,2.266324758529663,
38,740,2.281852960586548,,,
39,749,,2.284752368927002,,
,39,,,,2.2675607204437256
39,759,,,2.2675607204437256,
39,759,2.2823472023010254,,,
,40,,,,2.2680954933166504
40,778,,,2.2680954933166504,
40,778,2.281172275543213,,,
,41,,,,2.2690484523773193
41,797,,,2.2690484523773193,
41,797,2.2817366123199463,,,
42,799,,2.2799415588378906,,
,42,,,,2.2690179347991943
42,816,,,2.2690179347991943,
42,816,2.2815194129943848,,,
,43,,,,2.2676541805267334
43,835,,,2.2676541805267334,
43,835,2.281909465789795,,,
44,849,,2.2810888290405273,,
,44,,,,2.268531322479248
44,854,,,2.268531322479248,
44,854,2.2815988063812256,,,
,45,,,,2.2699127197265625
45,873,,,2.2699127197265625,
45,873,2.2807724475860596,,,
,46,,,,2.2662575244903564
46,892,,,2.2662575244903564,
46,892,2.2811439037323,,,
47,899,,2.2806448936462402,,
,47,,,,2.268203020095825
47,911,,,2.268203020095825,
47,911,2.2812697887420654,,,
,48,,,,2.266350030899048
48,930,,,2.266350030899048,
48,930,2.2811076641082764,,,
49,949,,2.283114433288574,,
,49,,,,2.267432928085327
49,949,,,2.267432928085327,
49,949,2.2810585498809814,,,
